year,id,away_team_api_id,match_api_id,stage,season,home_away,defenceDefenderLineClass_opponent,score,opponent_team
2014,12384,7943,1536829,31,2013/2014,away,Cover,2,Sassuolo
2014,12390,8529,1536835,32,2013/2014,away,Cover,2,Cagliari
2014,12395,8524,1536840,33,2013/2014,home,Cover,2,Atalanta
2014,12411,8535,1536856,34,2013/2014,away,Cover,1,Fiorentina
2014,12421,8564,1536866,35,2013/2014,home,Cover,2,Milan
2014,12431,8530,1536876,36,2013/2014,away,Cover,-3,Catania
2014,12439,9885,1536884,37,2013/2014,home,Offside Trap,-1,Juventus
2014,12451,10233,1536896,38,2013/2014,away,Cover,-1,Genoa
2013,12463,8543,1536558,4,2013/2014,home,Cover,2,Lazio
2013,12472,9882,1536567,5,2013/2014,away,Offside Trap,2,Sampdoria
2013,12482,9857,1536577,6,2013/2014,home,NA,5,Bologna
2013,12488,8636,1536583,7,2013/2014,away,Cover,3,Inter
2013,12502,9875,1536597,8,2013/2014,home,Cover,2,Napoli
2013,12514,8600,1536609,9,2013/2014,away,Cover,1,Udinese
2014,12521,8535,1785976,1,2014/2015,home,Offside Trap,2,Fiorentina
2014,12530,9875,1786068,10,2014/2015,away,Offside Trap,-2,Napoli
2014,12542,9804,1786080,11,2014/2015,home,Offside Trap,3,Torino
2014,12545,8524,1786083,12,2014/2015,away,Cover,1,Atalanta
2014,12562,8636,1786100,13,2014/2015,home,Cover,2,Inter
2014,12573,7943,1786111,14,2014/2015,home,Offside Trap,0,Sassuolo
2014,12578,10233,1786116,15,2014/2015,away,Cover,1,Genoa
2014,12591,8564,1786129,16,2014/2015,home,NA,0,Milan
2015,12604,8600,1786142,17,2014/2015,away,Cover,1,Udinese
2015,12611,8543,1786149,18,2014/2015,home,NA,0,Lazio
2015,12622,8540,1786160,19,2014/2015,away,Cover,0,Palermo
2014,12626,8534,1785982,2,2014/2015,away,NA,1,Empoli
2015,12641,8535,1786207,20,2014/2015,away,Cover,0,Fiorentina
2015,12646,8534,1786212,21,2014/2015,home,NA,0,Empoli
2015,12661,8529,1786227,22,2014/2015,away,Offside Trap,1,Cagliari
2015,12673,10167,1786239,23,2014/2015,home,NA,0,Parma
2015,12681,9876,1786247,24,2014/2015,away,Offside Trap,0,Hellas Verona
2015,12688,9885,1786254,25,2014/2015,home,Cover,0,Juventus
2015,12702,8533,1786268,26,2014/2015,away,Offside Trap,0,Chievo Verona
2015,12713,9882,1786279,27,2014/2015,home,Cover,-2,Sampdoria
2015,12722,9880,1786288,28,2014/2015,away,NA,1,Cesena
2015,12730,9875,1786296,29,2014/2015,home,Cover,1,Napoli
2014,12741,8529,1785997,3,2014/2015,home,Cover,2,Cagliari
2015,12752,9804,1786308,30,2014/2015,away,Cover,0,Torino
2015,12755,8524,1786311,31,2014/2015,home,Cover,0,Atalanta
2015,12772,8636,1786328,32,2014/2015,away,Cover,-1,Inter
2015,12783,7943,1786339,33,2014/2015,away,NA,3,Sassuolo
2015,12788,10233,1786344,34,2014/2015,home,Cover,2,Genoa
2015,12801,8564,1786357,35,2014/2015,away,Offside Trap,-1,Milan
2015,12814,8600,1786370,36,2014/2015,home,Cover,1,Udinese
2015,12821,8543,1786377,37,2014/2015,away,Cover,1,Lazio
2015,12831,8540,1786388,38,2014/2015,home,NA,-1,Palermo
2014,12842,10167,1786010,4,2014/2015,away,Cover,1,Parma
2014,12850,9876,1786018,5,2014/2015,home,Cover,2,Hellas Verona
2014,12857,9885,1786025,6,2014/2015,away,Offside Trap,-1,Juventus
2014,12871,8533,1786039,7,2014/2015,home,NA,3,Chievo Verona
2014,12882,9882,1786051,8,2014/2015,away,Cover,0,Sampdoria
2014,12891,9880,1786060,9,2014/2015,home,NA,2,Cesena
2015,12897,9876,2060258,1,2015/2016,away,Offside Trap,0,Hellas Verona
2015,12910,8600,2060450,10,2015/2016,home,NA,2,Udinese
2015,12919,8636,2060469,11,2015/2016,away,Offside Trap,-1,Inter
2015,12930,8543,2060490,12,2015/2016,home,Offside Trap,2,Lazio
2015,12935,9857,2060505,13,2015/2016,away,Offside Trap,0,Bologna
2015,12951,8524,2060531,14,2015/2016,home,NA,-2,Atalanta
2015,12963,9804,2060553,15,2015/2016,away,Cover,0,Torino
2015,12970,9875,2060570,16,2015/2016,away,NA,0,Napoli
2015,12981,10233,2060591,17,2015/2016,home,Cover,2,Genoa
2016,12984,8533,2060605,18,2015/2016,away,Cover,0,Chievo Verona
2016,13001,8564,2060633,19,2015/2016,home,Offside Trap,0,Milan
2015,13011,9885,2060273,2,2015/2016,home,Cover,1,Juventus
2016,13017,9876,2060289,20,2015/2016,home,Cover,0,Hellas Verona
2016,13031,9885,2060303,21,2015/2016,away,Cover,-1,Juventus
2016,13036,9891,2060308,22,2015/2016,home,Cover,2,Frosinone
2016,13051,7943,2060333,23,2015/2016,away,Cover,2,Sassuolo
2016,13062,9882,2060354,24,2015/2016,home,Cover,1,Sampdoria
2016,13071,208931,2060381,25,2015/2016,away,NA,2,Carpi
2016,13081,8540,2060401,26,2015/2016,home,Cover,5,Palermo
2016,13091,8534,2060421,27,2015/2016,away,NA,2,Empoli
2016,13097,8535,2060437,28,2015/2016,home,Cover,3,Fiorentina
2016,13110,8600,2060460,29,2015/2016,away,Cover,1,Udinese
2015,13116,9891,2060278,3,2015/2016,away,Cover,2,Frosinone
2016,13129,8636,2060479,30,2015/2016,home,Offside Trap,0,Inter
2016,13140,8543,2060500,31,2015/2016,away,Offside Trap,3,Lazio
2016,13145,9857,2060515,32,2015/2016,home,Cover,0,Bologna
2016,13161,8524,2060541,33,2015/2016,away,NA,0,Atalanta
2016,13173,9804,2060563,34,2015/2016,home,Cover,1,Torino
2016,13180,9875,2060580,35,2015/2016,home,NA,1,Napoli
2016,13191,10233,2060601,36,2015/2016,away,NA,1,Genoa
2016,13194,8533,2060615,37,2015/2016,home,Cover,3,Chievo Verona
2016,13211,8564,2060643,38,2015/2016,away,Cover,2,Milan
2015,13221,7943,2060323,4,2015/2016,home,Cover,0,Sassuolo
2015,13232,9882,2060344,5,2015/2016,away,Cover,-1,Sampdoria
2015,13241,208931,2060371,6,2015/2016,home,Offside Trap,4,Carpi
2015,13251,8540,2060391,7,2015/2016,away,Offside Trap,2,Palermo
2015,13261,8534,2060411,8,2015/2016,home,Cover,2,Empoli
2015,13267,8535,2060427,9,2015/2016,away,Cover,1,Fiorentina
